2024-05-17 15:22:49,291 py30 INFO conftest.py-64 line：========== session级 前置操作:打开浏览器 ==========
2024-05-17 15:23:01,156 py30 INFO keys_web.py-28 line：在行为：首页-点击开始测试，定位元素：['XPATH', "//*[@id='button']"]
2024-05-17 15:23:02,021 py30 INFO keys_web.py-159 line：在行为：首页-点击开始测试，点击元素：['XPATH', "//*[@id='button']"]
2024-05-17 15:23:03,188 py30 INFO keys_web.py-28 line：在行为：第1题-点击选项A，定位元素：['XPATH', "//*[@class='choice']/span[contains(text(),'A')]"]
2024-05-17 15:23:04,066 py30 INFO keys_web.py-159 line：在行为：第1题-点击选项A，点击元素：['XPATH', "//*[@class='choice']/span[contains(text(),'A')]"]
2024-05-17 15:23:06,178 py30 INFO keys_web.py-28 line：在行为：第2题-点击选项A，定位元素：['XPATH', "//*[@class='choice']/span[contains(text(),'A')]"]
2024-05-17 15:23:07,019 py30 INFO keys_web.py-159 line：在行为：第2题-点击选项A，点击元素：['XPATH', "//*[@class='choice']/span[contains(text(),'A')]"]
2024-05-17 15:23:09,123 py30 INFO keys_web.py-28 line：在行为：第3题-点击选项B，定位元素：['XPATH', "//*[@class='choice']/span[contains(text(),'B')]"]
2024-05-17 15:23:09,982 py30 INFO keys_web.py-159 line：在行为：第3题-点击选项B，点击元素：['XPATH', "//*[@class='choice']/span[contains(text(),'B')]"]
2024-05-17 15:23:12,097 py30 INFO keys_web.py-28 line：在行为：第4题-点击选项B，定位元素：['XPATH', "//*[@class='choice']/span[contains(text(),'B')]"]
2024-05-17 15:23:12,938 py30 INFO keys_web.py-159 line：在行为：第4题-点击选项B，点击元素：['XPATH', "//*[@class='choice']/span[contains(text(),'B')]"]
2024-05-17 15:23:15,048 py30 INFO keys_web.py-28 line：在行为：第5题-点击选项B，定位元素：['XPATH', "//*[@class='choice']/span[contains(text(),'B')]"]
2024-05-17 15:23:15,895 py30 INFO keys_web.py-159 line：在行为：第5题-点击选项B，点击元素：['XPATH', "//*[@class='choice']/span[contains(text(),'B')]"]
2024-05-17 15:23:18,002 py30 INFO keys_web.py-28 line：在行为：第6题-点击选项A，定位元素：['XPATH', "//*[@class='choice']/span[contains(text(),'A')]"]
2024-05-17 15:23:18,865 py30 INFO keys_web.py-159 line：在行为：第6题-点击选项A，点击元素：['XPATH', "//*[@class='choice']/span[contains(text(),'A')]"]
2024-05-17 15:23:20,962 py30 INFO keys_web.py-28 line：在行为：第7题-点击选项A，定位元素：['XPATH', "//*[@class='choice']/span[contains(text(),'A')]"]
2024-05-17 15:23:21,816 py30 INFO keys_web.py-159 line：在行为：第7题-点击选项A，点击元素：['XPATH', "//*[@class='choice']/span[contains(text(),'A')]"]
2024-05-17 15:23:23,918 py30 INFO keys_web.py-28 line：在行为：第8题-点击选项A，定位元素：['XPATH', "//*[@class='choice']/span[contains(text(),'A')]"]
2024-05-17 15:23:24,755 py30 INFO keys_web.py-159 line：在行为：第8题-点击选项A，点击元素：['XPATH', "//*[@class='choice']/span[contains(text(),'A')]"]
2024-05-17 15:23:26,858 py30 INFO keys_web.py-28 line：在行为：提交结果页-输入昵称，定位元素：['XPATH', "//input[@placeholder='输入你的昵称']"]
2024-05-17 15:23:27,709 py30 INFO keys_web.py-147 line：在行为：提交结果页-输入昵称，给元素：['XPATH', "//input[@placeholder='输入你的昵称']"] 输入文本值：用户033
2024-05-17 15:23:28,800 py30 INFO keys_web.py-28 line：在行为：提交结果页-点击提交按钮，定位元素：['XPATH', '//div[@class="subBtn"]']
2024-05-17 15:23:29,656 py30 INFO keys_web.py-159 line：在行为：提交结果页-点击提交按钮，点击元素：['XPATH', '//div[@class="subBtn"]']
2024-05-17 15:23:31,860 py30 INFO MBTI_page.py-46 line：预期 - ENTJ  实际 - ENTJ

2024-05-17 15:23:32,478 py30 INFO conftest.py-74 line：========== session级 后置操作:关闭浏览器,退出会话 ==========
